trial_index,arm_name,trial_status,generation_method,obj0,obj1,is_feasible,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
64,64_0,COMPLETED,FullyBayesianMOO,-1.0472239255905151,-0.41609349846839905,True,0.24077121688836323,0.5179719900344174,0.21884400138029478,0.6679269582871938,0.4605083604866816,0.5279300052361354,0.42573533775054184,0.5052563539878642,0.3932163106920715,0.5016314713262231,0.7832505572682761,0.6762691112456402,1.0,0.0,0.0,1.0,0.7634813122141305,0.0,0.9115087266282177,0.7151942787122703,0.05152463617440215,1.0,0.5741652229358271,0.7812123780874883,0.0,0.0,0.8611757427367736,1.0,0.0,1.0
65,65_0,COMPLETED,FullyBayesianMOO,-1.4643055200576782,-0.5285210013389587,False,0.22051503471587797,0.46229078727106415,0.5058925042304292,0.5222455314098874,0.0,0.2927215145861166,0.4005410119882309,0.5023294739384758,1.0,0.4557964392968141,1.0,0.7538024340352316,0.42868505704190574,0.0,0.9390470742221597,0.0,1.0,0.023925537851811365,0.5078668053894297,1.0,0.08322983094717555,0.5068192767271888,0.0,0.9333068510897616,0.0,0.0,1.0,1.0,0.0,1.0
66,66_0,COMPLETED,FullyBayesianMOO,9.530234734711485e-08,-2.1802635192871094,False,1.0,0.9429258918564328,0.0,0.33695307853363543,0.0,1.0,0.45424996332735884,0.24608116519723058,0.5466288786741306,0.8724962946996536,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.6179787832022313,0.0,0.6466953529087643,0.37199323912321347,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4829050278460247
67,67_0,COMPLETED,FullyBayesianMOO,-1.2839497327804565,-0.6530576348304749,False,0.29954817827156294,0.5155149873484043,0.0,0.662432424892516,0.528563728054194,0.8491431779822403,0.3025650449020603,0.49208309469163264,0.45752230299201513,0.4826683509640547,0.7794777614734274,1.0,1.0,1.0,0.2187964289715862,1.0,0.3435030473169607,0.0,1.0,0.820454714998869,0.13477325026046452,0.4472561201307647,0.20696279847134255,1.0,0.13722875895606557,0.0,1.0,0.4884255724671166,0.0,0.333268705877333
68,68_0,COMPLETED,FullyBayesianMOO,-1.2786674499511719,-0.40013372898101807,False,0.19307199187206311,0.2165575619218448,0.42646264319303107,0.4138579155567213,0.7346594947635305,0.11777823621915832,0.3992571697983976,0.6654575111166185,0.41570879759797913,0.47074358464131644,0.949633071109313,0.9330122721283519,1.0,0.0,0.0,0.0,0.9052260989723938,0.0,0.8439810478824329,0.0,0.0,0.6249072140172703,1.0,0.5882909790397386,0.0,0.0,0.9037917486662345,0.37503866258759594,0.08502821189765858,1.0
69,69_0,COMPLETED,FullyBayesianMOO,-1.1821870803833008,-0.5597313642501831,False,0.2815133389295185,0.5475041045676973,1.0,0.5967089161985321,0.5272449062543207,0.608263237028487,0.42001028066569207,0.639493801492138,0.4128757428018925,0.5219234234389444,0.8838083502250836,0.5720287793892535,1.0,0.0,0.3548211495597629,0.0,1.0,0.0,0.8872279762113704,1.0,0.0,0.5053591300038587,0.6140310478953672,0.8593527044459002,0.0,0.0,0.9576334055453335,0.2571224723433507,0.0,1.0
70,70_0,COMPLETED,FullyBayesianMOO,-2.321747303009033,-0.0,False,0.0,0.0,0.0,0.10333163253563522,1.0,0.0,0.3330021391924429,0.7099256706735836,0.41713983762674,0.2074620181231793,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.79231536631,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8118105684324177,1.0,0.10867168786953385,1.0
71,71_0,COMPLETED,FullyBayesianMOO,-1.2768678665161133,-0.474187970161438,False,0.2263709902739108,0.4630633539760389,0.006142843145006543,0.64572530658063,0.7964253054118765,0.5058613493737554,0.5455122421703613,0.5386441787904419,0.44572757365271476,0.5341538149468499,0.1392527875659557,1.0,1.0,0.42825120022613955,0.0,0.0,0.19465469692393242,0.0,1.0,0.3046574391334571,0.16440419984455912,0.7245012221722316,0.8119223997547478,1.0,0.0,0.0,1.0,0.6461664945401131,0.4733784230679261,1.0
72,72_0,COMPLETED,FullyBayesianMOO,-0.3277079463005066,-2.526259183883667,False,0.9178758559300609,0.9916652585519886,0.0,0.6864922754490944,0.0,0.0,0.40674396522253997,0.0,0.0,0.6105220473710641,0.3980629546123728,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.4613107750722267,0.0,0.0,0.0,0.43672024393663,1.0,0.0,1.0,0.0,0.0,0.0,0.0
73,73_0,COMPLETED,FullyBayesianMOO,-1.9347578287124634,-0.7036094069480896,False,0.22205228094977686,0.20785391158726688,0.07304404446094875,0.63594793744488,1.0,0.556884172927384,0.6379926827297787,1.0,0.4819485228935762,1.0,0.27449142028145407,0.896411105157379,1.0,0.0,0.0,0.5582490045398457,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
74,74_0,COMPLETED,FullyBayesianMOO,-1.0371949672698975,-0.4527268707752228,True,0.2620095785562604,0.5233344596108019,0.47735482341455976,0.599346549053595,0.5016381835641441,0.36076182018828523,0.1954743852121624,0.5170327315733582,0.41267653156529316,0.4730326510720943,1.0,1.0,1.0,0.41322464752282306,0.4059014568418744,0.4473728548334946,0.8503271449665925,0.0,0.8953475244388462,0.25889113473909964,0.0,0.1252714231116089,0.793470116271767,1.0,0.0,0.0,0.8449952599135068,0.516267598168035,0.0,1.0
75,75_0,COMPLETED,FullyBayesianMOO,-0.5457713603973389,-1.0243690013885498,True,0.6883538943612195,0.5833002567556217,0.3267184929220078,0.5421846843383192,0.31790597536128523,0.6295705780456851,0.6707392252821167,0.4137522954166109,0.3133102715816771,0.4764753361883578,0.0,0.0,1.0,0.1647783258111026,1.0,1.0,0.0,0.9436532345788339,1.0,1.0,0.516575323475124,0.0,0.0,1.0,0.0,0.0,0.15733697305114322,1.0,0.0,1.0
76,76_0,COMPLETED,FullyBayesianMOO,8.61377955629905e-08,-1.9706029891967773,False,1.0,0.12078033837427253,0.7771948126408014,0.5524736438277664,0.41362930239346024,1.0,0.0,0.5351605573108907,0.012122259733817952,0.4779973470591168,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.8375539252349393,1.0,0.0,1.0,0.0,0.9803316835899123,0.0,0.0,0.4970953442242998,1.0,1.0,1.0
