"id","name","topo","hydro","muid","lu_mgt","soil_plant_init","surf_stor","snow","field","hyd_grp","area_ha","slp"
"    2917","hru2917","topohru2917","           hyd2917",172194,"         frsd_lum","       soilplant1","             null","          snow001","             null","C",0.05,0.05567
"    2918","hru2918","topohru2918","           hyd2918",172113,"         frsd_lum","       soilplant1","             null","          snow001","             null","A",0.1,0.1068
"    2919","hru2919","topohru2919","           hyd2919",172144,"         frsd_lum","       soilplant1","             null","          snow001","             null","C",0.09,0.04257
"    2920","hru2920","topohru2920","           hyd2920",172193,"         past_lum","       soilplant1","             null","          snow001","             null","C",0.1,0.05122
"    2921","hru2921","topohru2921","           hyd2921",172205,"         past_lum","       soilplant1","             null","          snow001","             null","C",0.62,0.13806
"    2922","hru2922","topohru2922","           hyd2922",172145,"         past_lum","       soilplant1","             null","          snow001","             null","B",0.09,0.05622
"    2923","hru2923","topohru2923","           hyd2923",172203,"         past_lum","       soilplant1","             null","          snow001","             null","C",0.03,0.002
"    2924","hru2924","topohru2924","           hyd2924",172151,"         past_lum","       soilplant1","             null","          snow001","             null","B",0.43,0.02518
"    2925","hru2925","topohru2925","           hyd2925",172155,"         past_lum","       soilplant1","             null","          snow001","             null","C",0.13,0.02404
"    2926","hru2926","topohru2926","           hyd2926",172202,"         past_lum","       soilplant1","             null","          snow001","             null","C",0.06,0.12899
"    2927","hru2927","topohru2927","           hyd2927",172130,"         past_lum","       soilplant1","             null","          snow001","             null","C",0.04,0.02397
"    2928","hru2928","topohru2928","           hyd2928",167956,"         past_lum","       soilplant1","             null","          snow001","             null","C",0.29,0.03697
"    2929","hru2929","topohru2929","           hyd2929",172123,"         past_lum","       soilplant1","             null","          snow001","             null","C",0.07,0.02182
"    2930","hru2930","topohru2930","           hyd2930",172193,"     SC_NT_tile_B","    soilnut_20-30","             null","          snow001","             null","C",0.3,0.02403
"    2931","hru2931","topohru2931","           hyd2931",172123,"       SC_RT_tile","    soilnut_30-40","             null","          snow001","             null","C",0.83,0.01926
"    2932","hru2932","topohru2932","           hyd2932",172151,"     CS_RotT_tile","    soilnut_30-40","             null","          snow001","             null","B",4.36,0.01559
"    2933","hru2933","topohru2933","           hyd2933",172136,"          CS_RotT","    soilnut_80-90","             null","          snow001","             null","A",1.21,0.02909
"    2934","hru2934","topohru2934","           hyd2934",172203,"       SC_FT_tile","    soilnut_30-40","             null","          snow001","             null","C",0.8,0.09624
"    2935","hru2935","topohru2935","           hyd2935",172205,"       SC_FT_tile","    soilnut_30-40","             null","          snow001","             null","C",1.05,0.1106
"    2936","hru2936","topohru2936","           hyd2936",172194," CS_NT_tile_GW_LS","       soilplant1","             null","          snow001","             null","C",1.55,0.01862
"    2937","hru2937","topohru2937","           hyd2937",172145,"     CS_RotT_tile","     soilnut_0-10","             null","          snow001","             null","B",0.03,0
"    2938","hru2938","topohru2938","           hyd2938",172165,"            CS_FT","    soilnut_30-40","             null","          snow001","             null","B",0.4,0.07124
"    2939","hru2939","topohru2939","           hyd2939",172155,"     CS_RotT_tile","  soilnut_140-150","             null","          snow001","             null","C",1.08,0.01731
"    2940","hru2940","topohru2940","           hyd2940",172114,"        SC_RotT_B","    soilnut_30-40","             null","          snow001","             null","A",0.53,0.0725
